Wavelength	TC7.001
518	 0.066842332482338 
519	 6.79367929697037E-02 
520	 6.91305696964264E-02 
521	 7.03409388661385E-02 
522	 7.15991705656052E-02 
523	 7.28339478373528E-02 
524	 7.40804001688957E-02 
525	 7.56318271160126E-02 
526	 7.71237537264824E-02 
527	 7.86354765295982E-02 
528	 8.03410485386848E-02 
529	 8.19955617189407E-02 
530	 8.36974009871483E-02 
531	 8.55405330657959E-02 
532	 8.75858515501022E-02 
533	 8.96716713905334E-02 
534	 9.17980447411537E-02 
535	 9.40096601843834E-02 
536	 9.63630899786949E-02 
537	 9.88777726888657E-02 
538	 0.1014514118433 
539	 0.103956416249275 
540	 0.106639258563519 
541	 0.109482049942017 
542	 0.112407803535461 
543	 0.115288741886616 
544	 0.118284374475479 
545	 0.121351979672909 
546	 0.124413155019283 
547	 0.127534419298172 
548	 0.130658477544785 
549	 0.133777424693108 
550	 0.136924833059311 
551	 0.140120476484299 
552	 0.14337457716465 
553	 0.146691903471947 
554	 0.150073871016502 
555	 0.153470158576965 
556	 0.15687307715416 
557	 0.16029267013073 
558	 0.163740172982216 
559	 0.167182311415672 
560	 0.170565456151962 
561	 0.17382238805294 
562	 0.177010089159012 
563	 0.180133834481239 
564	 0.183177918195724 
565	 0.186110526323318 
566	 0.189061805605888 
567	 0.192014515399933 
568	 0.194844782352448 
569	 0.197605520486832 
570	 0.200245305895805 
571	 0.202745109796524 
572	 0.20518571138382 
573	 0.207494214177132 
574	 0.209691479802132 
575	 0.211825951933861 
576	 0.213835403323174 
577	 0.21578349173069 
578	 0.217679634690285 
579	 0.219455555081367 
580	 0.221177995204926 
581	 0.222815275192261 
582	 0.224341347813606 
583	 0.225817769765854 
584	 0.227176770567894 
585	 0.228387370705605 
586	 0.229462593793869 
587	 0.23056735098362 
588	 0.231585711240768 
589	 0.232467114925385 
590	 0.233320102095604 
591	 0.234076127409935 
592	 0.234702408313751 
593	 0.235200524330139 
594	 0.235666111111641 
595	 0.236065536737442 
596	 0.23640850186348 
597	 0.236741051077843 
598	 0.236997455358505 
599	 0.237177520990372 
600	 0.237302914261818 
601	 0.237414658069611 
602	 0.237496063113213 
603	 0.237523227930069 
604	 0.237479463219643 
605	 0.237425103783607 
606	 0.237323641777039 
607	 0.237183913588524 
608	 0.237079799175262 
609	 0.236905723810196 
610	 0.236689135432243 
611	 0.236473798751831 
612	 0.236245393753052 
613	 0.235956653952599 
614	 0.235657662153244 
615	 0.235443189740181 
616	 0.235167518258095 
617	 0.234917655587196 
618	 0.23471511900425 
619	 0.234406024217606 
620	 0.234145507216454 
621	 0.233905360102654 
622	 0.233614459633827 
623	 0.233299940824509 
624	 0.233032315969467 
625	 0.232812687754631 
626	 0.23257577419281 
627	 0.232310131192207 
628	 0.232058808207512 
629	 0.231859907507896 
630	 0.231720760464668 
631	 0.231546089053154 
632	 0.231330558657646 
633	 0.231117740273476 
634	 0.230952605605125 
635	 0.230802685022354 
636	 0.230660930275917 
637	 0.230561047792435 
638	 0.230435192584991 
639	 0.230327576398849 
640	 0.230269625782967 
641	 0.230146676301956 
642	 0.230112642049789 
643	 0.230147406458855 
644	 0.230130717158318 
645	 0.230105727910995 
646	 0.230135440826416 
647	 0.230219691991806 
648	 0.23024994134903 
649	 0.230317130684853 
650	 0.230435788631439 
651	 0.230584666132927 
652	 0.230694696307182 
653	 0.230840995907784 
654	 0.231023773550987 
655	 0.231186300516129 
656	 0.231417149305344 
657	 0.231658682227135 
658	 0.231876462697983 
659	 0.232128754258156 
660	 0.232458829879761 
661	 0.232809349894524 
662	 0.23311348259449 
663	 0.23349130153656 
664	 0.23390243947506 
665	 0.234308838844299 
666	 0.234688565135002 
667	 0.235096827149391 
668	 0.235571816563606 
669	 0.236107692122459 
670	 0.23659935593605 
671	 0.237145960330963 
672	 0.237697288393974 
673	 0.23817603290081 
674	 0.238794282078743 
675	 0.239481508731842 
676	 0.24016247689724 
677	 0.240789905190468 
678	 0.241447925567627 
679	 0.242164820432663 
680	 0.242928102612495 
681	 0.243647545576096 
682	 0.24441322684288 
683	 0.245238795876503 
684	 0.246083945035934 
685	 0.246852964162827 
686	 0.247664049267769 
687	 0.248584300279617 
688	 0.249579682946205 
689	 0.250495374202728 
690	 0.251373767852783 
691	 0.252308934926987 
692	 0.253359645605087 
693	 0.254402220249176 
694	 0.255424857139587 
695	 0.256483495235443 
696	 0.257529318332672 
697	 0.258630245923996 
698	 0.259787350893021 
699	 0.260877877473831 
700	 0.262045651674271 
701	 0.263250231742859 
702	 0.264430582523346 
703	 0.265664905309677 
704	 0.266874641180038 
705	 0.268066614866257 
706	 0.269307166337967 
707	 0.270577073097229 
708	 0.271826505661011 
709	 0.273050129413605 
710	 0.274319469928741 
711	 0.275691568851471 
712	 0.277060568332672 
713	 0.278321415185928 
714	 0.279585808515549 
715	 0.280913770198822 
716	 0.28227162361145 
717	 0.283566206693649 
718	 0.284892737865448 
719	 0.286229908466339 
720	 0.287551760673523 
721	 0.288845211267471 
722	 0.290152460336685 
723	 0.29146221280098 
724	 0.292751371860504 
725	 0.294029235839844 
726	 0.295259535312653 
727	 0.296490013599396 
728	 0.297810971736908 
729	 0.299087792634964 
730	 0.300289869308472 
731	 0.301448583602905 
732	 0.302675634622574 
733	 0.303825110197067 
734	 0.3049396276474 
735	 0.306082248687744 
736	 0.30717334151268 
737	 0.308228850364685 
738	 0.309250712394714 
739	 0.310228288173676 
740	 0.311164259910584 
741	 0.312049090862274 
742	 0.312885463237762 
743	 0.31369611620903 
744	 0.314509719610214 
745	 0.315297782421112 
746	 0.316022247076035 
747	 0.316668003797531 
748	 0.317313879728317 
749	 0.317946970462799 
750	 0.318507015705109 
751	 0.319041877985001 
752	 0.319524109363556 
753	 0.319957494735718 
754	 0.320392668247223 
755	 0.320775628089905 
756	 0.321107864379883 
757	 0.321395605802536 
758	 0.321613430976868 
759	 0.321826845407486 
760	 0.321989089250565 
761	 0.3220294713974 
762	 0.322085738182068 
763	 0.322155267000198 
764	 0.322199642658234 
765	 0.322158664464951 
766	 0.322057843208313 
767	 0.321908801794052 
768	 0.321732848882675 
769	 0.321581482887268 
770	 0.321389764547348 
771	 0.32113379240036 
772	 0.320804834365845 
773	 0.320379763841629 
774	 0.319959163665771 
775	 0.319572031497955 
776	 0.319176733493805 
777	 0.318697810173035 
778	 0.318188488483429 
779	 0.317659169435501 
780	 0.317012786865234 
781	 0.316420793533325 
782	 0.31581723690033 
783	 0.315122753381729 
784	 0.314467638731003 
785	 0.313782215118408 
786	 0.313060820102692 
787	 0.312329739332199 
788	 0.31155201792717 
789	 0.310750335454941 
790	 0.309955835342407 
791	 0.309196650981903 
792	 0.30839279294014 
793	 0.307533979415894 
794	 0.30664399266243 
795	 0.305788397789001 
796	 0.304906040430069 
797	 0.304002821445465 
798	 0.303100854158401 
799	 0.302168816328049 
800	 0.301238834857941 
801	 0.300298690795898 
802	 0.29931378364563 
803	 0.298426002264023 
804	 0.297514826059341 
805	 0.296536326408386 
806	 0.295611470937729 
807	 0.294654279947281 
808	 0.293662846088409 
809	 0.292667299509048 
810	 0.291730672121048 
811	 0.290776193141937 
812	 0.289811581373215 
813	 0.288869380950928 
814	 0.287889689207077 
815	 0.286930710077286 
816	 0.285998493432999 
817	 0.285049676895142 
818	 0.284084886312485 
819	 0.283111542463303 
820	 0.282151728868485 
821	 0.28124675154686 
822	 0.280303478240967 
823	 0.27935254573822 
824	 0.27844300866127 
825	 0.277573317289352 
826	 0.276666194200516 
827	 0.275724858045578 
828	 0.274793118238449 
829	 0.27388322353363 
830	 0.273028939962387 
831	 0.272185057401657 
832	 0.271259665489197 
833	 0.270436078310013 
834	 0.26962086558342 
835	 0.268767327070236 
836	 0.267960518598557 
837	 0.267160207033157 
838	 0.266346246004105 
839	 0.2655169069767 
840	 0.26470285654068 
841	 0.263927906751633 
842	 0.2631895840168 
843	 0.262470990419388 
844	 0.261760473251343 
845	 0.261028587818146 
846	 0.26029497385025 
847	 0.259608805179596 
848	 0.258951097726822 
849	 0.258277624845505 
850	 0.257594108581543 
851	 0.256969153881073 
852	 0.256323397159576 
853	 0.255731642246246 
854	 0.255200147628784 
855	 0.254524558782578 
856	 0.253859102725983 
857	 0.253286391496658 
858	 0.252813875675201 
859	 0.252278178930283 
860	 0.251720398664474 
861	 0.25119212269783 
862	 0.250733077526093 
863	 0.250278323888779 
864	 0.249806612730026 
865	 0.249320894479752 
866	 0.248842731118202 
867	 0.248386606574059 
868	 0.24793629348278 
869	 0.247493803501129 
870	 0.247089385986328 
871	 0.246680751442909 
872	 0.246278122067451 
873	 0.245906159281731 
874	 0.245597332715988 
875	 0.245250701904297 
876	 0.244899809360504 
877	 0.244594752788544 
878	 0.244281247258186 
879	 0.243974640965462 
880	 0.243684276938438 
881	 0.243415966629982 
882	 0.243181318044662 
883	 0.24287848174572 
884	 0.242567151784897 
885	 0.242400586605072 
886	 0.242202743887901 
887	 0.241972222924232 
888	 0.241748660802841 
889	 0.2415881305933 
890	 0.241426929831505 
891	 0.24127197265625 
892	 0.241122543811798 
893	 0.240944385528564 
894	 0.24079529941082 
895	 0.240683540701866 
896	 0.240604087710381 
897	 0.240558937191963 
898	 0.240511253476143 
899	 0.240427583456039 
900	 0.240309044718742 
901	 0.240261808037758 
902	 0.240262791514397 
903	 0.240244701504707 
904	 0.240162059664726 
905	 0.240191578865051 
906	 0.24025647342205 
907	 0.240307658910751 
908	 0.240328177809715 
909	 0.240294173359871 
910	 0.24026395380497 
911	 0.240279719233513 
912	 0.240352287888527 
913	 0.240459635853767 
914	 0.240572094917297 
915	 0.240676984190941 
916	 0.240784838795662 
917	 0.240822955965996 
918	 0.240930318832397 
919	 0.241146430373192 
920	 0.241256132721901 
921	 0.24135260283947 
922	 0.24146880209446 
923	 0.241617232561111 
924	 0.241796717047691 
925	 0.24194523692131 
926	 0.242132246494293 
927	 0.242411479353905 
928	 0.242639273405075 
929	 0.242844328284264 
930	 0.243032187223434 
931	 0.243210807442665 
932	 0.243420913815498 
933	 0.243693545460701 
934	 0.243995293974876 
935	 0.244262218475342 
936	 0.244465202093124 
937	 0.244772166013718 
938	 0.245132654905319 
939	 0.245375871658325 
940	 0.245668098330498 
941	 0.245951682329178 
942	 0.246219843626022 
943	 0.246529787778854 
944	 0.246970564126968 
945	 0.247325226664543 
946	 0.247569963335991 
947	 0.247907862067223 
948	 0.248308628797531 
949	 0.248674005270004 
950	 0.248991698026657 
951	 0.249361291527748 
952	 0.249619632959366 
953	 0.250007718801498 
954	 0.250538438558578 
955	 0.250816076993942 
956	 0.251099288463593 
957	 0.251542896032333 
958	 0.252111434936523 
959	 0.252502202987671 
960	 0.252857089042664 
961	 0.253228187561035 
962	 0.253659129142761 
963	 0.254210293292999 
964	 0.254526227712631 
965	 0.254790931940079 
966	 0.255209028720856 
967	 0.255684316158295 
968	 0.256176859140396 
969	 0.256645977497101 
970	 0.257094919681549 
971	 0.257625281810761 
972	 0.25810781121254 
