Wavelength	Tablay400125.asd
538	 5.00799636199728E-02 
539	 4.99164091901913E-02 
540	 4.96979451783809E-02 
541	 4.94982089279366E-02 
542	 0.049411414632803 
543	 0.04955083817038 
544	 0.049618630007132 
545	 4.94391560822912E-02 
546	 4.90721614816053E-02 
547	 4.93960851046155E-02 
548	 4.95678554692118E-02 
549	 0.04930418783957 
550	 4.89174301942421E-02 
551	 4.94668072032507E-02 
552	 4.97744246342378E-02 
553	 4.91461392746559E-02 
554	 4.91090992927722E-02 
555	 0.049252875288 
556	 4.93899323885307E-02 
557	 4.93974355316215E-02 
558	 4.90887351196632E-02 
559	 4.88608163039341E-02 
560	 4.89303434212139E-02 
561	 4.91997729072241E-02 
562	 4.90998886926033E-02 
563	 0.049096645382155 
564	 4.95423569604584E-02 
565	 4.91886748748549E-02 
566	 4.91780926493565E-02 
567	 4.94507978946818E-02 
568	 4.91257583832232E-02 
569	 4.92730782544591E-02 
570	 4.92194430188458E-02 
571	 4.87011463171308E-02 
572	 4.88747071264997E-02 
573	 4.88652783417766E-02 
574	 4.87939820664638E-02 
575	 4.89951340134679E-02 
576	 4.87921521947683E-02 
577	 4.86585794438666E-02 
578	 0.048792006206187 
579	 4.89926131801549E-02 
580	 4.90611608765758E-02 
581	 4.91018766460425E-02 
582	 4.91657433732567E-02 
583	 4.88077572029718E-02 
584	 4.90339746853131E-02 
585	 4.95009154959301E-02 
586	 0.0491884644753 
587	 4.88240006483345E-02 
588	 4.86692740702935E-02 
589	 4.87533870309482E-02 
590	 4.88313385650519E-02 
591	 4.89052351825236E-02 
592	 4.90117050760575E-02 
593	 4.91585723302538E-02 
594	 4.91643999115807E-02 
595	 4.90073020862282E-02 
596	 4.88944783898528E-02 
597	 4.91642127503225E-02 
598	 4.89837525654667E-02 
599	 4.86662250782235E-02 
600	 4.85785446377395E-02 
601	 0.048748871612572 
602	 4.87403412777892E-02 
603	 4.87498276321648E-02 
604	 4.91169199591031E-02 
605	 0.049110348188885 
606	 4.89314643578597E-02 
607	 4.88359607106485E-02 
608	 4.90400955231699E-02 
609	 4.88539423556556E-02 
610	 0.048651218886108 
611	 4.88209828816817E-02 
612	 4.89013494382533E-02 
613	 4.88321517249404E-02 
614	 4.87204751235669E-02 
615	 4.87582179673875E-02 
616	 4.87874141633717E-02 
617	 4.87161955664866E-02 
618	 4.85853689875466E-02 
619	 4.86541992425608E-02 
620	 4.87249527144423E-02 
621	 4.87385730659958E-02 
622	 4.86713052886133E-02 
623	 4.83907896222395E-02 
624	 4.84794630641841E-02 
625	 4.88622691274132E-02 
626	 4.88661122578475E-02 
627	 4.89423947695727E-02 
628	 4.87987846324337E-02 
629	 4.83849338461271E-02 
630	 4.85917175455228E-02 
631	 4.86876478632223E-02 
632	 4.86591853977054E-02 
633	 4.87452434741528E-02 
634	 4.85936467391299E-02 
635	 4.85604598298287E-02 
636	 4.87062122199644E-02 
637	 4.86630184097641E-02 
638	 4.85284247555136E-02 
639	 4.84792860016258E-02 
640	 4.86155050020341E-02 
641	 4.87311705298653E-02 
642	 4.87695524342377E-02 
643	 4.87701628523429E-02 
644	 4.88039606803339E-02 
645	 4.85876685305806E-02 
646	 4.83891275606312E-02 
647	 4.83942769887851E-02 
648	 4.85560990581852E-02 
649	 0.048697843886024 
650	 4.86126351180422E-02 
651	 4.82800304214553E-02 
652	 0.048422602662313 
653	 0.048595467790741 
654	 0.048578319339373 
655	 4.83970110347557E-02 
656	 4.84405611791888E-02 
657	 4.84943052564209E-02 
658	 4.84300130999111E-02 
659	 0.048535243428005 
660	 4.84770295220746E-02 
661	 4.83353048854696E-02 
662	 0.048320080637595 
663	 4.84371341993931E-02 
664	 4.85876820926745E-02 
665	 4.86991552951384E-02 
666	 4.87351270991186E-02 
667	 4.86081015699371E-02 
668	 4.85236697313396E-02 
669	 4.85930274981386E-02 
670	 0.048543807637163 
671	 4.84660454327118E-02 
672	 4.83706386918579E-02 
673	 4.82731085962683E-02 
674	 4.84362171039412E-02 
675	 4.85704196086965E-02 
676	 4.85254144081732E-02 
677	 4.83778374931601E-02 
678	 4.83544034855206E-02 
679	 4.83670937516709E-02 
680	 4.83183081029708E-02 
681	 4.83278935726027E-02 
682	 4.84096152808363E-02 
683	 0.048482089393651 
684	 4.84379789174058E-02 
685	 4.84286325057645E-02 
686	 4.83867284280509E-02 
687	 4.82750826616555E-02 
688	 4.81258306740043E-02 
689	 4.81388434523114E-02 
690	 4.82182217965743E-02 
691	 4.82517360690264E-02 
692	 4.84039810717314E-02 
693	 4.83372993055115E-02 
694	 4.82012130450882E-02 
695	 4.83810704097355E-02 
696	 4.83524269698917E-02 
697	 4.83202514604289E-02 
698	 4.83479041171365E-02 
699	 0.048131319435355 
700	 4.81958930609618E-02 
701	 4.83637556981345E-02 
702	 4.83468106505328E-02 
703	 4.82629730634386E-02 
704	 4.81623170207567E-02 
705	 4.81165821221539E-02 
706	 4.81899316073805E-02 
707	 4.82592682994627E-02 
708	 4.82615505372119E-02 
709	 4.82017651979925E-02 
710	 4.81775741438834E-02 
711	 4.81409518053964E-02 
712	 4.81580323281753E-02 
713	 4.82597586354184E-02 
714	 4.82070271092578E-02 
715	 4.82476781237904E-02 
716	 4.83381530062269E-02 
717	 4.82517515086299E-02 
718	 4.82411845583842E-02 
