Carpeta,Tabla,Espectro,Pigmento,Aglutinante,Base de preparación
Tablas1,C2,C100000.asd,Ocre oscuro Siena,Aceite de linaza,carbonato de calcio
Tablas1,C2,C100001.asd,Ocre oscuro Siena,Aceite de linaza,carbonato de calcio
Tablas1,C2,C100002.asd,Ocre oscuro Siena,Aceite de linaza,carbonato de calcio
Tablas1,C2,C200000.asd,Ocre oscuro Siena,aceite de nuez,carbonato de calcio
Tablas1,C2,C200001.asd,Ocre oscuro Siena,aceite de nuez,carbonato de calcio
Tablas1,C2,C200002.asd,Ocre oscuro Siena,aceite de nuez,carbonato de calcio
Tablas1,C2,C300000.asd,Ocre oscuro Siena,yema de huevo,carbonato de calcio
Tablas1,C2,C300001.asd,Ocre oscuro Siena,yema de huevo,carbonato de calcio
Tablas1,C2,C300002.asd,Ocre oscuro Siena,yema de huevo,carbonato de calcio
Tablas1,C2,C400000.asd,Ocre oscuro Siena,cola de conejo,carbonato de calcio
Tablas1,C2,C400001.asd,Ocre oscuro Siena,cola de conejo,carbonato de calcio
Tablas1,C2,C400002.asd,Ocre oscuro Siena,cola de conejo,carbonato de calcio
Tablas1,C2,C500000.asd,Ocre oscuro Siena,almaciga y aceite de linaza,carbonato de calcio
Tablas1,C2,C500001.asd,Ocre oscuro Siena,almaciga y aceite de linaza,carbonato de calcio
Tablas1,C2,C500002.asd,Ocre oscuro Siena,almaciga y aceite de linaza,carbonato de calcio
Tablas1,C2,D100000.asd,Siena tostada,Aceite de linaza,carbonato de calcio
Tablas1,C2,D100001.asd,Siena tostada,Aceite de linaza,carbonato de calcio
Tablas1,C2,D100002.asd,Siena tostada,Aceite de linaza,carbonato de calcio
Tablas1,C2,D200000.asd,Siena tostada,aceite de nuez,carbonato de calcio
Tablas1,C2,D200001.asd,Siena tostada,aceite de nuez,carbonato de calcio
Tablas1,C2,D200002.asd,Siena tostada,aceite de nuez,carbonato de calcio
Tablas1,C2,D300000.asd,Siena tostada,yema de huevo,carbonato de calcio
Tablas1,C2,D300001.asd,Siena tostada,yema de huevo,carbonato de calcio
Tablas1,C2,D300002.asd,Siena tostada,yema de huevo,carbonato de calcio
Tablas1,C2,D400000.asd,Siena tostada,cola de conejo,carbonato de calcio
Tablas1,C2,D400001.asd,Siena tostada,cola de conejo,carbonato de calcio
Tablas1,C2,D400002.asd,Siena tostada,cola de conejo,carbonato de calcio
Tablas1,C2,D500000.asd,Siena tostada,almaciga y aceite de linaza,carbonato de calcio
Tablas1,C2,D500001.asd,Siena tostada,almaciga y aceite de linaza,carbonato de calcio
Tablas1,C2,D500002.asd,Siena tostada,almaciga y aceite de linaza,carbonato de calcio
Tablas1,C2,E100000.asd,Betun de Judea,Aceite de linaza,carbonato de calcio
Tablas1,C2,E100001.asd,Betun de Judea,Aceite de linaza,carbonato de calcio
Tablas1,C2,E100002.asd,Betun de Judea,Aceite de linaza,carbonato de calcio
Tablas1,C2,E200000.asd,Betun de Judea,aceite de nuez,carbonato de calcio
