Wavelength	1a.000
429	 8.67189019918442E-02 
430	 8.67277383804321E-02 
431	 8.63161534070969E-02 
432	 8.60540196299553E-02 
433	 8.58734846115112E-02 
434	 8.54377374053001E-02 
435	 8.55124369263649E-02 
436	 8.55629667639732E-02 
437	 8.53160247206688E-02 
438	 8.51221084594727E-02 
439	 8.48958045244217E-02 
440	 8.46363827586174E-02 
441	 0.084399588406086 
442	 8.44091325998306E-02 
443	 8.43571946024895E-02 
444	 8.42186212539673E-02 
445	 8.41888040304184E-02 
446	 8.40172320604324E-02 
447	 8.37986990809441E-02 
448	 8.36400464177132E-02 
449	 8.35522934794426E-02 
450	 8.35241600871086E-02 
451	 8.34495425224304E-02 
452	 8.32206755876541E-02 
453	 0.082929365336895 
454	 8.27874019742012E-02 
455	 8.27958583831787E-02 
456	 8.27197656035423E-02 
457	 8.26826393604279E-02 
458	 8.26617628335953E-02 
459	 0.082594059407711 
460	 8.23673829436302E-02 
461	 8.22402238845825E-02 
462	 8.21933597326279E-02 
463	 8.20556133985519E-02 
464	 0.081823892891407 
465	 8.17186385393143E-02 
466	 8.17693322896957E-02 
467	 8.16735252737999E-02 
468	 8.16838517785072E-02 
469	 8.16017985343933E-02 
470	 8.13114866614342E-02 
471	 8.16370844841003E-02 
472	 8.15432742238045E-02 
473	 8.10804292559624E-02 
474	 8.11499133706093E-02 
475	 0.08110261708498 
476	 8.09951946139336E-02 
477	 8.09355601668358E-02 
478	 8.09011161327362E-02 
479	 8.08371603488922E-02 
480	 8.07697176933289E-02 
481	 0.080738939344883 
482	 8.06401595473289E-02 
483	 8.05895179510117E-02 
484	 0.080619752407074 
485	 8.06508213281631E-02 
486	 0.080593578517437 
487	 0.080515094101429 
488	 8.04735422134399E-02 
489	 8.03559795022011E-02 
490	 8.03493410348892E-02 
491	 8.04215222597122E-02 
492	 8.04197713732719E-02 
493	 8.04017335176468E-02 
494	 8.04038643836975E-02 
495	 0.080458015203476 
496	 8.06049108505249E-02 
497	 8.05948078632355E-02 
498	 8.05501416325569E-02 
499	 8.06389972567558E-02 
500	 8.06592032313347E-02 
501	 8.05995464324951E-02 
502	 8.05316790938377E-02 
503	 8.05833041667938E-02 
504	 8.06715786457062E-02 
505	 8.06946605443954E-02 
506	 8.06471258401871E-02 
507	 8.07770416140556E-02 
508	 8.07800590991974E-02 
509	 8.07236507534981E-02 
510	 8.08072835206985E-02 
511	 8.08815732598305E-02 
512	 8.09794515371323E-02 
513	 8.10717791318893E-02 
514	 8.10308083891869E-02 
515	 8.10012593865395E-02 
516	 8.10133442282677E-02 
517	 8.10528323054314E-02 
518	 8.10638293623924E-02 
519	 0.081098385155201 
520	 0.081157773733139 
521	 8.12080428004265E-02 
522	 8.12631547451019E-02 
523	 8.12986865639687E-02 
524	 8.13213586807251E-02 
525	 8.14154297113419E-02 
526	 8.14605727791786E-02 
527	 8.15241560339928E-02 
528	 8.16878825426102E-02 
529	 8.17187801003456E-02 
530	 8.17270427942276E-02 
531	 8.18065777420998E-02 
532	 0.082003191113472 
533	 8.20385739207268E-02 
534	 8.20859968662262E-02 
535	 8.22792649269104E-02 
536	 8.23272839188576E-02 
537	 8.24418142437935E-02 
538	 8.26233178377151E-02 
539	 8.27623084187508E-02 
540	 8.29112380743027E-02 
