Wavelength	5c.001
582	 1.54109537601471 
583	 1.533411860466 
584	 1.52541673183441 
585	 1.51691663265228 
586	 1.50708448886871 
587	 1.49761664867401 
588	 1.48777878284454 
589	 1.47692692279816 
590	 1.46503114700317 
591	 1.45243787765503 
592	 1.43938779830933 
593	 1.42595231533051 
594	 1.41204631328583 
595	 1.39630734920502 
596	 1.37894248962402 
597	 1.36125707626343 
598	 1.34163498878479 
599	 1.31997263431549 
600	 1.29638528823853 
601	 1.27107799053192 
602	 1.24392521381378 
603	 1.21496784687042 
604	 1.1844527721405 
605	 1.15306186676025 
606	 1.12082779407501 
607	 1.08778023719788 
608	 1.05406987667084 
609	 1.02039885520935 
610	 0.986879229545593 
611	 0.953402936458588 
612	 0.919896841049194 
613	 0.887157559394836 
614	 0.85533207654953 
615	 0.824203789234161 
