Wavelength	5d.001
557	 1.47483313083649 
558	 1.47204637527466 
559	 1.46897292137146 
560	 1.4652224779129 
561	 1.46143877506256 
562	 1.45821058750153 
563	 1.45458722114563 
564	 1.44970321655273 
565	 1.44437396526337 
566	 1.44011449813843 
567	 1.43661367893219 
568	 1.43234348297119 
569	 1.42816317081451 
570	 1.42425787448883 
571	 1.42051899433136 
572	 1.41642248630524 
573	 1.41227412223816 
574	 1.4082692861557 
575	 1.40442085266113 
576	 1.39995431900024 
577	 1.39553570747375 
578	 1.39129328727722 
579	 1.38669192790985 
580	 1.38240230083466 
581	 1.37855613231659 
582	 1.37482821941376 
583	 1.36994850635529 
584	 1.36517810821533 
585	 1.36074435710907 
586	 1.35626554489136 
587	 1.35175895690918 
588	 1.34679448604584 
589	 1.34149467945099 
590	 1.33694112300873 
591	 1.33231556415558 
592	 1.32700419425964 
593	 1.32086193561554 
594	 1.3154069185257 
595	 1.30967831611633 
596	 1.30333662033081 
597	 1.29666912555695 
598	 1.29011166095734 
599	 1.28291392326355 
600	 1.27467119693756 
601	 1.266268491745 
602	 1.25720226764679 
603	 1.24766135215759 
604	 1.23794996738434 
605	 1.22724616527557 
606	 1.2161613702774 
607	 1.20465421676636 
608	 1.19188213348389 
609	 1.17914867401123 
610	 1.1657440662384 
611	 1.15102255344391 
612	 1.13600933551788 
613	 1.12048673629761 
614	 1.10431432723999 
615	 1.08739674091339 
616	 1.06992042064667 
617	 1.05184769630432 
618	 1.03323006629944 
619	 1.01425063610077 
620	 0.994699776172638 
621	 0.974806487560272 
622	 0.95485258102417 
623	 0.934797883033752 
624	 0.914437294006348 
625	 0.893917798995972 
626	 0.87361091375351 
627	 0.85318660736084 
628	 0.832964837551117 
629	 0.813141465187073 
630	 0.793458342552185 
631	 0.774219632148743 
632	 0.75533127784729 
633	 0.736710488796234 
634	 0.718866109848022 
635	 0.701527059078217 
636	 0.684570074081421 
637	 0.668133020401001 
638	 0.652307689189911 
639	 0.637195527553558 
640	 0.62279886007309 
641	 0.608900368213654 
642	 0.595627546310425 
643	 0.582969069480896 
644	 0.570821464061737 
645	 0.559245765209198 
646	 0.54828542470932 
647	 0.5379279255867 
648	 0.528065860271454 
649	 0.518576085567474 
650	 0.50960373878479 
651	 0.501262843608856 
652	 0.493283569812775 
653	 0.485720306634903 
654	 0.478519380092621 
655	 0.471566170454025 
656	 0.465055584907532 
657	 0.45898562669754 
658	 0.453256845474243 
659	 0.447627156972885 
660	 0.442286014556885 
661	 0.437291920185089 
662	 0.432610481977463 
663	 0.427965372800827 
664	 0.4235600233078 
665	 0.41942498087883 
666	 0.415406763553619 
667	 0.411657065153122 
668	 0.408128410577774 
669	 0.404721885919571 
670	 0.401274919509888 
671	 0.398031443357468 
672	 0.394989311695099 
673	 0.392033457756042 
674	 0.389155238866806 
675	 0.386363983154297 
676	 0.383661448955536 
677	 0.381033629179001 
678	 0.37869456410408 
679	 0.376337379217148 
680	 0.373758971691132 
681	 0.371416211128235 
682	 0.369257777929306 
683	 0.36721059679985 
684	 0.365183889865875 
685	 0.363101571798325 
686	 0.361135333776474 
687	 0.359317094087601 
688	 0.357450425624847 
689	 0.355468928813934 
690	 0.35355281829834 
691	 0.351863473653793 
692	 0.350286066532135 
693	 0.348605692386627 
694	 0.346855521202087 
695	 0.345213204622269 
696	 0.3435418009758 
697	 0.342069923877716 
698	 0.340795546770096 
699	 0.339308381080627 
700	 0.337700515985489 
701	 0.336164563894272 
702	 0.334815293550491 
703	 0.333335816860199 
704	 0.33198070526123 
705	 0.330770045518875 
706	 0.329554527997971 
707	 0.328292518854141 
708	 0.326968789100647 
709	 0.325676411390305 
710	 0.324692070484161 
711	 0.323423534631729 
712	 0.322095155715942 
713	 0.321048974990845 
714	 0.320054620504379 
715	 0.319024115800858 
716	 0.317931413650513 
717	 0.316811889410019 
718	 0.315815806388855 
719	 0.314875662326813 
720	 0.31395098567009 
721	 0.313110917806625 
722	 0.312185317277908 
723	 0.311248928308487 
724	 0.310398280620575 
725	 0.309476047754288 
726	 0.308701038360596 
727	 0.307981103658676 
728	 0.307048618793488 
729	 0.306258320808411 
730	 0.305602848529816 
731	 0.304995149374008 
732	 0.304301112890244 
733	 0.30366462469101 
734	 0.30305278301239 
735	 0.302415460348129 
736	 0.301844358444214 
737	 0.30124232172966 
738	 0.300668567419052 
739	 0.300251722335815 
740	 0.29972642660141 
741	 0.299185365438461 
742	 0.298706024885178 
743	 0.298273205757141 
744	 0.297875165939331 
745	 0.297497570514679 
746	 0.297129452228546 
747	 0.296772092580795 
748	 0.296415895223618 
749	 0.296068340539932 
750	 0.295754045248032 
751	 0.295556366443634 
752	 0.295297175645828 
753	 0.294956922531128 
754	 0.29474738240242 
755	 0.29447939991951 
756	 0.294225603342056 
757	 0.294061273336411 
758	 0.293905049562454 
759	 0.293690979480743 
760	 0.293476432561874 
761	 0.293361335992813 
762	 0.293295800685883 
763	 0.293208092451096 
764	 0.293046355247498 
765	 0.292798340320587 
766	 0.292796969413757 
767	 0.292854696512222 
768	 0.29276579618454 
769	 0.292500853538513 
770	 0.292433351278305 
771	 0.292495369911194 
772	 0.292484432458878 
773	 0.292473882436752 
774	 0.292415976524353 
775	 0.292347431182861 
776	 0.292361617088318 
777	 0.292325288057327 
778	 0.292380303144455 
779	 0.292548656463623 
780	 0.292593330144882 
781	 0.292505413293839 
782	 0.2925064265728 
783	 0.292735069990158 
784	 0.292804896831512 
785	 0.292783588171005 
786	 0.292788505554199 
787	 0.29293105006218 
788	 0.29305174946785 
789	 0.293145209550858 
790	 0.293215662240982 
791	 0.293261677026749 
792	 0.29325944185257 
793	 0.293292284011841 
794	 0.293427675962448 
795	 0.293663948774338 
796	 0.293787479400635 
797	 0.293810665607452 
798	 0.293852895498276 
799	 0.294061064720154 
800	 0.294211745262146 
801	 0.294240772724152 
802	 0.294238030910492 
803	 0.294356912374496 
804	 0.294482737779617 
805	 0.294570356607437 
806	 0.294735461473465 
807	 0.294828802347183 
808	 0.294883847236633 
809	 0.294950008392334 
810	 0.294962137937546 
811	 0.295100957155228 
812	 0.295285195112228 
813	 0.295363068580627 
814	 0.295537620782852 
815	 0.295659124851227 
816	 0.295693337917328 
817	 0.295730590820313 
818	 0.295832186937332 
819	 0.295995384454727 
820	 0.296150416135788 
821	 0.296146214008331 
822	 0.296091914176941 
823	 0.296110659837723 
824	 0.296252876520157 
825	 0.296343684196472 
826	 0.296454757452011 
827	 0.29660165309906 
828	 0.296744406223297 
829	 0.296689450740814 
