Wavelength	2e.000
426	 5.28693944215775E-02 
427	 5.32673671841621E-02 
428	 5.34479953348637E-02 
429	 5.35205267369747E-02 
430	 0.053647343069315 
431	 5.32092340290546E-02 
432	 5.33241927623749E-02 
433	 5.37018589675426E-02 
434	 5.34095987677574E-02 
435	 5.35544864833355E-02 
436	 0.053696546703577 
437	 5.35971745848656E-02 
438	 0.053598552942276 
439	 5.34773170948029E-02 
440	 5.33528923988342E-02 
441	 5.33951073884964E-02 
442	 5.35985268652439E-02 
443	 5.36285229027271E-02 
444	 5.35109378397465E-02 
445	 0.053543783724308 
446	 5.34206479787827E-02 
447	 5.33484891057014E-02 
448	 5.34278638660908E-02 
449	 5.33404238522053E-02 
450	 5.33404871821404E-02 
451	 5.33971525728703E-02 
452	 5.33822067081928E-02 
453	 0.053268738090992 
454	 0.053278349339962 
455	 0.053391944617033 
456	 5.33140189945698E-02 
457	 5.32400533556938E-02 
458	 5.31552284955978E-02 
459	 0.053081601858139 
460	 5.33278025686741E-02 
461	 5.33378571271896E-02 
462	 5.30942566692829E-02 
463	 5.29081337153912E-02 
464	 5.30046559870243E-02 
465	 0.053078681230545 
466	 5.29694743454456E-02 
467	 5.28297275304794E-02 
468	 5.27990013360977E-02 
469	 5.28100579977036E-02 
470	 5.27915768325329E-02 
471	 5.29991574585438E-02 
472	 5.29420524835587E-02 
473	 5.27310185134411E-02 
474	 5.29109053313732E-02 
475	 5.26835545897484E-02 
476	 5.25561794638634E-02 
477	 5.28096854686737E-02 
478	 5.27638234198093E-02 
479	 5.26780784130096E-02 
480	 5.27017153799534E-02 
481	 5.28787672519684E-02 
482	 5.28067238628864E-02 
483	 5.27498945593834E-02 
484	 5.28076402842999E-02 
485	 5.28350174427032E-02 
486	 5.29210790991783E-02 
487	 5.28591834008694E-02 
488	 5.25857545435429E-02 
489	 5.26761040091515E-02 
490	 0.052712719887495 
491	 5.27032911777496E-02 
492	 5.28640523552895E-02 
493	 5.28100430965424E-02 
494	 5.27380518615246E-02 
495	 5.28082884848118E-02 
496	 5.30268549919128E-02 
497	 5.29516376554966E-02 
498	 5.28186336159706E-02 
499	 5.29349967837334E-02 
