Wavelength	1b.001
832	 0.268195539712906 
833	 0.268085896968842 
834	 0.267986834049225 
835	 0.26788654923439 
836	 0.267708420753479 
837	 0.267519026994705 
838	 0.267446845769882 
839	 0.267489284276962 
840	 0.267232894897461 
841	 0.267104834318161 
842	 0.267070472240448 
843	 0.266944408416748 
844	 0.266816318035126 
845	 0.266659826040268 
846	 0.266504317522049 
847	 0.266407519578934 
848	 0.266289889812469 
849	 0.26614835858345 
850	 0.266014039516449 
851	 0.265942186117172 
852	 0.265816867351532 
853	 0.265674114227295 
854	 0.265554279088974 
855	 0.265435636043549 
856	 0.265342563390732 
857	 0.265188485383987 
858	 0.264955639839172 
859	 0.264994561672211 
860	 0.264985620975494 
861	 0.264828115701675 
862	 0.264594733715057 
863	 0.264579653739929 
864	 0.264506280422211 
865	 0.264308154582977 
866	 0.264145880937576 
867	 0.264184713363647 
868	 0.264162808656693 
869	 0.263973325490952 
870	 0.263804048299789 
871	 0.263657480478287 
872	 0.263494223356247 
873	 0.26331627368927 
874	 0.263243496417999 
875	 0.263193219900131 
876	 0.263194799423218 
877	 0.263220369815826 
878	 0.262907385826111 
879	 0.262760996818542 
880	 0.262769401073456 
881	 0.262692451477051 
882	 0.262624233961105 
883	 0.262476980686188 
884	 0.262290060520172 
885	 0.26218456029892 
886	 0.262054294347763 
887	 0.261930584907532 
888	 0.261871367692947 
889	 0.261927098035812 
890	 0.261821925640106 
891	 0.261651813983917 
892	 0.261548340320587 
893	 0.261572450399399 
894	 0.261538505554199 
895	 0.261447191238403 
896	 0.261322021484375 
897	 0.261091589927673 
898	 0.260982125997543 
899	 0.26095712184906 
900	 0.260901391506195 
901	 0.260802119970322 
902	 0.260679364204407 
903	 0.260542720556259 
904	 0.260402083396912 
905	 0.260296016931534 
906	 0.260223716497421 
907	 0.260091125965118 
908	 0.259812504053116 
909	 0.259844273328781 
910	 0.259894162416458 
911	 0.259808540344238 
912	 0.259663313627243 
913	 0.259517401456833 
914	 0.25941988825798 
915	 0.259375840425491 
916	 0.259335786104202 
917	 0.259251534938812 
918	 0.259096294641495 
919	 0.258863776922226 
920	 0.258564502000809 
921	 0.258501589298248 
922	 0.258545398712158 
923	 0.258512496948242 
924	 0.2584068775177 
925	 0.258314847946167 
926	 0.258200526237488 
927	 0.258036881685257 
928	 0.257967621088028 
929	 0.257924735546112 
930	 0.257810771465302 
931	 0.257598400115967 
932	 0.257594645023346 
933	 0.257563322782516 
934	 0.257399946451187 
935	 0.257155537605286 
936	 0.257207453250885 
937	 0.257151573896408 
938	 0.256963193416595 
939	 0.256874322891235 
940	 0.256697028875351 
941	 0.256554007530212 
942	 0.256490051746368 
943	 0.256451457738876 
944	 0.256364762783051 
945	 0.256258904933929 
946	 0.256139725446701 
947	 0.255980104207993 
948	 0.255808681249619 
949	 0.255713909864426 
950	 0.255692780017853 
951	 0.255627244710922 
952	 0.255559384822845 
953	 0.255493402481079 
954	 0.255385339260101 
955	 0.255145013332367 
956	 0.255064845085144 
957	 0.25500875711441 
958	 0.254883170127869 
959	 0.254825681447983 
960	 0.254794925451279 
961	 0.25481104850769 
962	 0.25481453537941 
963	 0.254579454660416 
964	 0.254444986581802 
965	 0.254388719797134 
966	 0.254312694072723 
967	 0.254183888435364 
968	 0.25407013297081 
969	 0.253940403461456 
970	 0.253794342279434 
971	 0.253776758909225 
972	 0.253769099712372 
973	 0.253708124160767 
974	 0.253564447164536 
975	 0.253340303897858 
976	 0.253181219100952 
977	 0.253083050251007 
978	 0.253006994724274 
979	 0.252990484237671 
980	 0.252943456172943 
981	 0.252876102924347 
982	 0.252795994281769 
983	 0.252574741840363 
984	 0.252405345439911 
985	 0.252279311418533 
986	 0.252122223377228 
987	 0.251898735761642 
988	 0.251783639192581 
989	 0.251767069101334 
990	 0.251743853092194 
991	 0.251563757658005 
992	 0.251369327306747 
993	 0.251308977603912 
994	 0.251397639513016 
995	 0.251252770423889 
996	 0.250976979732513 
997	 0.250799477100372 
998	 0.250843673944473 
999	 0.250738948583603 
1000	 0.250662058591843 
1001	 0.25068935751915 
1002	 0.250559061765671 
1003	 0.250419080257416 
1004	 0.250322103500366 
1005	 0.250254273414612 
1006	 0.250162869691849 
1007	 0.250083208084106 
1008	 0.249995499849319 
1009	 0.249889314174652 
1010	 0.249793514609337 
1011	 0.249698579311371 
1012	 0.249625042080879 
1013	 0.249582603573799 
1014	 0.249502345919609 
1015	 0.249441087245941 
1016	 0.249332472681999 
1017	 0.249164819717407 
1018	 0.249013662338257 
1019	 0.248903080821037 
1020	 0.248802796006203 
1021	 0.248699620366096 
1022	 0.248622253537178 
1023	 0.248537018895149 
1024	 0.248444736003876 
1025	 0.248344674706459 
1026	 0.248246029019356 
1027	 0.248158305883408 
1028	 0.248066976666451 
1029	 0.247969463467598 
1030	 0.247882038354874 
1031	 0.247787624597549 
1032	 0.247649118304253 
