Wavelength	TC7.015
585	 3.29164005815983E-02 
586	 0.033989891409874 
587	 3.51891554892063E-02 
588	 3.65752577781677E-02 
589	 3.81459668278694E-02 
590	 3.97979244589806E-02 
591	 4.16288077831268E-02 
592	 4.36542928218842E-02 
593	 4.58778962492943E-02 
594	 4.83393184840679E-02 
595	 5.10891638696194E-02 
596	 5.41489794850349E-02 
597	 0.057515911757946 
598	 6.12988993525505E-02 
599	 6.54676035046577E-02 
600	 7.00161531567574E-02 
601	 7.50450119376183E-02 
602	 8.04659649729729E-02 
603	 8.63234102725983E-02 
604	 9.26776975393295E-02 
605	 9.92880687117577E-02 
606	 0.10629516094923 
607	 0.113792754709721 
608	 0.121753223240376 
609	 0.130023956298828 
610	 0.138609752058983 
611	 0.147560983896255 
612	 0.156894132494926 
613	 0.166460648179054 
614	 0.176231250166893 
615	 0.1862723082304 
616	 0.196562558412552 
617	 0.207041501998901 
618	 0.2176244109869 
619	 0.228211462497711 
620	 0.238878890872002 
621	 0.249588027596474 
622	 0.260264307260513 
623	 0.270835995674133 
624	 0.281317830085754 
625	 0.291685074567795 
626	 0.301887631416321 
627	 0.311829388141632 
628	 0.321487188339233 
629	 0.330866366624832 
630	 0.340011358261108 
631	 0.34871369600296 
632	 0.357009917497635 
633	 0.36503791809082 
634	 0.372834146022797 
635	 0.380246341228485 
636	 0.387234508991241 
637	 0.393893212080002 
638	 0.40021488070488 
639	 0.406113773584366 
640	 0.411565721035004 
641	 0.416805028915405 
642	 0.421845346689224 
643	 0.426604717969894 
644	 0.430975139141083 
645	 0.435196101665497 
646	 0.439172178506851 
647	 0.44285461306572 
648	 0.446326941251755 
649	 0.449660032987595 
650	 0.452854156494141 
651	 0.455873966217041 
652	 0.458625435829163 
653	 0.461262732744217 
654	 0.463839590549469 
655	 0.466314017772675 
656	 0.468580961227417 
657	 0.470731288194656 
658	 0.472831755876541 
659	 0.474824011325836 
660	 0.476817548274994 
661	 0.478709727525711 
662	 0.480390518903732 
663	 0.482183963060379 
664	 0.483872890472412 
665	 0.485417991876602 
666	 0.486985862255096 
667	 0.488492101430893 
668	 0.489944577217102 
669	 0.491354495286942 
670	 0.492700129747391 
671	 0.494018822908401 
672	 0.495299130678177 
673	 0.496518850326538 
674	 0.497728824615479 
675	 0.498921900987625 
676	 0.500079452991486 
677	 0.501176834106445 
678	 0.50228077173233 
679	 0.503391921520233 
680	 0.504478812217712 
681	 0.505461394786835 
682	 0.506449460983276 
683	 0.507478415966034 
684	 0.508519768714905 
685	 0.509421765804291 
686	 0.510267853736877 
687	 0.511160910129547 
688	 0.512194216251373 
689	 0.513078153133392 
690	 0.513860881328583 
691	 0.514661908149719 
692	 0.515482604503632 
693	 0.516357481479645 
694	 0.517241299152374 
695	 0.518049895763397 
696	 0.518869459629059 
697	 0.519593477249146 
698	 0.520230770111084 
699	 0.521001756191254 
700	 0.5218106508255 
701	 0.522549510002136 
702	 0.523171186447144 
703	 0.523872017860413 
704	 0.524575233459473 
705	 0.525246620178223 
706	 0.525891304016113 
707	 0.526548981666565 
708	 0.527210474014282 
709	 0.527835309505463 
710	 0.528336524963379 
711	 0.52894651889801 
712	 0.529616832733154 
713	 0.530232191085815 
714	 0.530793905258179 
715	 0.531350255012512 
716	 0.531894624233246 
717	 0.532387137413025 
718	 0.532916486263275 
719	 0.533452451229095 
