Wavelength	Tablay400100.asd
568	 4.57839458305707E-02 
569	 4.58221862517095E-02 
570	 4.56832330756341E-02 
571	 4.54142462797356E-02 
572	 4.55645291523559E-02 
573	 4.57524547966239E-02 
574	 4.58249408959191E-02 
575	 4.57512964131091E-02 
576	 4.57445392555549E-02 
577	 4.55016019917639E-02 
578	 4.51910107943305E-02 
579	 4.55161398055288E-02 
580	 4.58155076286846E-02 
581	 4.58236906234652E-02 
582	 4.55511421333987E-02 
583	 4.55094769266582E-02 
584	 4.56433500570113E-02 
585	 4.58422144525759E-02 
586	 0.045932852777004 
587	 4.55571192321689E-02 
588	 0.045381445430432 
589	 0.045584181565419 
590	 4.53554995197112E-02 
591	 4.53676515606214E-02 
592	 4.55443300227404E-02 
593	 4.56167516813998E-02 
594	 4.55154887791172E-02 
595	 4.54532303081926E-02 
596	 4.54246307066795E-02 
597	 4.52525802489557E-02 
598	 4.53444281645685E-02 
599	 4.54166902761928E-02 
600	 4.53280914698119E-02 
601	 4.56304061778457E-02 
602	 4.54806524771887E-02 
603	 4.52196829835517E-02 
604	 4.55097819268803E-02 
605	 4.53845481849282E-02 
606	 4.52511411321326E-02 
607	 0.045359537849659 
608	 4.56257206690287E-02 
609	 4.54876971851843E-02 
610	 4.52449801375648E-02 
611	 4.52282591156732E-02 
612	 4.50436760327698E-02 
613	 4.51840347075424E-02 
614	 4.54725421156101E-02 
615	 4.53710710238352E-02 
616	 4.54218215367644E-02 
617	 4.54595291949081E-02 
618	 4.53616956619269E-02 
619	 4.52267764785026E-02 
620	 4.52535853411036E-02 
621	 4.53130854528304E-02 
622	 4.52188449478594E-02 
623	 4.50865917172783E-02 
624	 4.51271254232995E-02 
625	 4.52736221371961E-02 
626	 4.52204577515447E-02 
627	 4.52444401440589E-02 
628	 4.52808376591679E-02 
629	 4.52576782769934E-02 
630	 4.52538999821541E-02 
631	 4.50909984658457E-02 
632	 4.50127728782412E-02 
633	 4.53127174312438E-02 
634	 4.52472760492956E-02 
635	 4.51970595159737E-02 
636	 4.53065890265922E-02 
637	 4.53136536738703E-02 
638	 0.045312970058922 
639	 4.52570547647194E-02 
640	 4.51359366576873E-02 
641	 4.51414656026822E-02 
642	 4.52859139628645E-02 
643	 4.53867880617142E-02 
644	 4.51999249603096E-02 
645	 4.50767737935784E-02 
646	 0.04514148534446 
647	 4.53132619078014E-02 
648	 4.52313664304879E-02 
649	 4.51735330005362E-02 
650	 4.52048389817787E-02 
651	 4.52892315861766E-02 
652	 0.045230418871484 
653	 4.53518821840501E-02 
654	 4.55326834137167E-02 
655	 4.53370802448965E-02 
656	 4.52974625544064E-02 
657	 4.53857285831847E-02 
658	 4.54673047939606E-02 
659	 4.53692008396601E-02 
660	 4.53460797044911E-02 
661	 4.53681478945634E-02 
662	 4.53324707923712E-02 
663	 4.53481115684071E-02 
664	 4.54486885826558E-02 
665	 4.56172309889218E-02 
666	 4.57849761799466E-02 
667	 0.045745528034283 
668	 4.56329358325607E-02 
669	 4.56286390596651E-02 
670	 4.58924915117111E-02 
671	 4.58507502083104E-02 
672	 4.57053742546475E-02 
673	 0.045910003915514 
674	 4.59582263118668E-02 
675	 4.60070327423753E-02 
676	 4.60970203902887E-02 
677	 4.60685875761789E-02 
678	 4.59682573909644E-02 
679	 4.59066281352914E-02 
680	 4.59845707988008E-02 
681	 4.62545118715539E-02 
682	 4.64042553394015E-02 
683	 4.64386796657768E-02 
684	 4.65277596337862E-02 
685	 0.046574505933971 
686	 0.046682494516731 
687	 4.68531161947281E-02 
688	 4.69233582808522E-02 
689	 0.046976141035007 
690	 4.71312401383845E-02 
691	 4.74004955126544E-02 
692	 4.73785844171012E-02 
693	 4.75087678697601E-02 
694	 4.77872184249099E-02 
695	 4.79485571024521E-02 
696	 4.81851848070405E-02 
697	 0.048465536269001 
698	 4.87364679331918E-02 
699	 4.89495266805325E-02 
700	 4.92557233360601E-02 
701	 4.96817934009504E-02 
702	 5.01668705503527E-02 
703	 5.04822943255879E-02 
704	 5.08223095207226E-02 
705	 5.12754845325294E-02 
706	 5.18288594504591E-02 
707	 5.23050950037298E-02 
708	 5.28615340205642E-02 
709	 5.35530362260317E-02 
710	 5.41878979600512E-02 
711	 0.054916867092146 
712	 0.055767052526832 
713	 5.66966129327097E-02 
714	 5.75298980106542E-02 
715	 5.85355509106753E-02 
716	 5.97242020695674E-02 
717	 6.09207597077536E-02 
718	 6.21472520067336E-02 
719	 6.35212817430666E-02 
720	 6.50467572908294E-02 
