Wavelength	A00133.asd
589	 0.13271293059543 
590	 0.141854162295652 
591	 0.152102231117767 
592	 0.163450235458578 
593	 0.175852959275089 
594	 0.188963393542399 
595	 0.202922358330201 
596	 0.217770155823942 
597	 0.23335149569424 
598	 0.24961927645034 
599	 0.266589118365261 
600	 0.284191300522939 
601	 0.302233422983256 
602	 0.32084006303743 
603	 0.339851439547695 
604	 0.358978955559438 
605	 0.37818001200458 
606	 0.397601929746525 
607	 0.417242706472433 
608	 0.436835946297559 
609	 0.456428462646212 
610	 0.475849723830313 
611	 0.495014555539203 
612	 0.514048754178236 
613	 0.532697029908902 
614	 0.551014688301623 
615	 0.569192465876828 
616	 0.586566523436572 
617	 0.603634248598862 
618	 0.620583624781464 
619	 0.636940249547698 
620	 0.653037820439389 
621	 0.668512451680458 
622	 0.683088953486208 
623	 0.697815725909391 
624	 0.712304044818383 
625	 0.726104986665825 
626	 0.738866600705787 
627	 0.751308715605829 
628	 0.763712765699394 
629	 0.776015235016111 
630	 0.787605760847527 
631	 0.798498323846247 
632	 0.808820244221152 
633	 0.818807329291977 
634	 0.828732717692751 
635	 0.838383479364503 
636	 0.847543697943543 
637	 0.855904192639609 
638	 0.864077959329999 
639	 0.872055425838265 
640	 0.879720484509351 
641	 0.886992314656243 
642	 0.894011551036558 
643	 0.900607132790143 
644	 0.906557446664545 
645	 0.91280333974346 
646	 0.918804671578082 
647	 0.924279451589508 
648	 0.929697138688751 
649	 0.935048600046129 
650	 0.940040293646147 
651	 0.944389878892176 
652	 0.948161011941041 
653	 0.951736686577186 
654	 0.955616028743681 
655	 0.960201577283182 
656	 0.963670839631074 
657	 0.966849943984314 
658	 0.970244212846345 
659	 0.972699576169239 
660	 0.975429994085022 
661	 0.978352559753231 
662	 0.980946680990212 
663	 0.983155739680398 
664	 0.98528304131271 
665	 0.987507773382559 
666	 0.989816739893699 
667	 0.991163290595265 
668	 0.99268955137679 
669	 0.994992379938013 
670	 0.99606483737921 
671	 0.997322077066187 
672	 0.999098734216603 
673	 1.00107040345726 
674	 1.0020470041984 
675	 1.00305349961972 
676	 1.00431596177766 
677	 1.00486566839659 
678	 1.00556581413587 
679	 1.00648745419343 
680	 1.00748437379288 
681	 1.00838682956717 
682	 1.00903575024013 
683	 1.00961983861297 
684	 1.01047405554862 
685	 1.01140839422866 
686	 1.01192295895609 
687	 1.01210441539026 
688	 1.01288076916183 
689	 1.01341626055277 
690	 1.01406409499231 
691	 1.01498966307273 
692	 1.0145290576619 
693	 1.01459053282739 
694	 1.01554910685486 
695	 1.01663639166453 
696	 1.01673419412731 
697	 1.01682161372816 
698	 1.01734820653541 
699	 1.01750189824568 
700	 1.01785462224641 
701	 1.01818771044852 
702	 1.01827953753138 
703	 1.01876175154132 
704	 1.01918568528187 
705	 1.01949780274922 
706	 1.01988846831513 
707	 1.01994869748849 
708	 1.01993549939769 
709	 1.02006322718569 
710	 1.02030787871779 
711	 1.02108528804727 
712	 1.02185260583185 
713	 1.02202658564466 
714	 1.02209263465803 
715	 1.02213599203703 
716	 1.02199734480861 
717	 1.02149269176431 
718	 1.0221992448395 
719	 1.02262651973864 
720	 1.02227482294741 
721	 1.02303228711775 
722	 1.02383998962522 
723	 1.02409650182368 
724	 1.02365183212366 
725	 1.0235945741448 
726	 1.02315836501177 
727	 1.02282849744798 
728	 1.02375905702533 
729	 1.02405315893654 
730	 1.02463504415495 
731	 1.02541768647492 
732	 1.02395734932246 
733	 1.02413329587581 
734	 1.02503114465779 
735	 1.02489541926355 
736	 1.02444692969412 
737	 1.02466480950008 
738	 1.02517471533934 
739	 1.0249510647626 
740	 1.02615175187206 
741	 1.02656819092467 
742	 1.02562873419053 
743	 1.02596212050995 
744	 1.0259486042759 
745	 1.02596036359521 
746	 1.02651852431996 
747	 1.0269884629116 
748	 1.02676600030808 
749	 1.02642578707158 
750	 1.02696966325146 
751	 1.02675642175205 
752	 1.02734549690759 
753	 1.02853835520419 
754	 1.02757322694929 
755	 1.02715933966128 
756	 1.02711253157348 
757	 1.02702637057348 
758	 1.02802735632888 
759	 1.02823020879488 
760	 1.02780363344252 
761	 1.02791839424774 
762	 1.02920031204478 
763	 1.02923265419698 
764	 1.02822647344941 
765	 1.02921039126159 
766	 1.02915895346612 
767	 1.02873275071695 
768	 1.02876345961326 
769	 1.02883202217689 
770	 1.02854513670458 
771	 1.0287566925428 
772	 1.03015664010805 
773	 1.0302567975211 
774	 1.03041766309799 
775	 1.0307262528214 
776	 1.03021099302803 
777	 1.02972679784673 
778	 1.02977340681548 
779	 1.03045026458271 
780	 1.0313513150998 
781	 1.03111705603101 
782	 1.03083464849734 
