Wavelength	Tablay400057.asd
452	 5.08445234719609E-02 
453	 5.02642553019687E-02 
454	 5.00675023897488E-02 
455	 5.05047298399885E-02 
456	 4.87523639243739E-02 
457	 4.77261661880875E-02 
458	 4.82156740399665E-02 
459	 4.96830352637936E-02 
460	 4.93081920902241E-02 
461	 4.88964442993176E-02 
462	 4.90403691099958E-02 
463	 4.94481627235664E-02 
464	 4.80914014325757E-02 
465	 4.79565750982321E-02 
466	 4.93932825498393E-02 
467	 4.80315061635491E-02 
468	 4.86021733209785E-02 
469	 4.91998828577958E-02 
470	 4.74285834052454E-02 
471	 4.64071581062363E-02 
472	 4.68808437188104E-02 
473	 0.047826610253093 
474	 4.72402406674639E-02 
475	 4.91735123191678E-02 
476	 0.049277578678249 
477	 4.60210796063246E-02 
478	 4.65573835835901E-02 
479	 4.65553548691213E-02 
480	 0.046264432929848 
481	 4.71281223538862E-02 
482	 4.74616856023333E-02 
483	 4.74865034372157E-02 
484	 4.73771463528142E-02 
485	 4.71037396546544E-02 
486	 4.62024588438082E-02 
487	 4.59505188144792E-02 
488	 0.046978231535609 
489	 4.70815033808694E-02 
490	 4.59582442130533E-02 
491	 4.49295819486431E-02 
492	 4.58540174868591E-02 
493	 4.62089517448511E-02 
494	 4.65166746431981E-02 
495	 4.68153569327762E-02 
496	 4.57003862025681E-02 
497	 4.54820328997369E-02 
498	 4.57128755125961E-02 
499	 4.54982917253251E-02 
500	 4.61148101772025E-02 
501	 4.60102832721283E-02 
502	 4.52555566222801E-02 
503	 4.53187183107698E-02 
504	 4.59141443403914E-02 
505	 4.56368686537993E-02 
506	 4.43139675099307E-02 
507	 4.51866718884326E-02 
508	 4.53694053847682E-02 
509	 4.51013840139391E-02 
510	 0.045691078500388 
511	 4.59979408546782E-02 
512	 4.55896813674937E-02 
513	 4.48466934154463E-02 
514	 4.50587312557427E-02 
515	 4.48353923384573E-02 
516	 4.44837684050167E-02 
517	 4.44912625145698E-02 
518	 4.44178034138763E-02 
519	 4.46929492717269E-02 
520	 4.49826436836775E-02 
521	 4.45531713703981E-02 
522	 4.43582276036879E-02 
523	 4.46166563998102E-02 
524	 4.51437846685532E-02 
525	 4.52019090707708E-02 
526	 4.53911700147406E-02 
527	 4.53459107827844E-02 
528	 4.47176159607762E-02 
529	 0.045117729329333 
530	 4.52224435121675E-02 
531	 0.044747061662411 
532	 4.46575985026378E-02 
533	 0.045653607534621 
534	 4.61589083173355E-02 
535	 4.52700082543445E-02 
536	 4.53524452055526E-02 
537	 4.55863497998946E-02 
538	 4.57107747500863E-02 
539	 4.57790295654076E-02 
540	 4.58755403716391E-02 
541	 4.59381622525995E-02 
542	 4.59683971109673E-02 
543	 0.046102718895564 
544	 4.60842436160285E-02 
545	 4.61276807266596E-02 
546	 4.64564448713888E-02 
547	 4.66915774656791E-02 
548	 4.68778578552989E-02 
549	 4.70644577241649E-02 
550	 4.72948259519096E-02 
551	 4.77144445319326E-02 
552	 4.81584678252785E-02 
553	 4.84427337379605E-02 
554	 4.84005204208886E-02 
555	 4.88436355014279E-02 
556	 0.04955220528452 
557	 4.99132068723374E-02 
558	 5.04963220569598E-02 
559	 5.10506182086203E-02 
560	 5.15421029786766E-02 
561	 5.23451845003513E-02 
562	 5.26300967341063E-02 
563	 5.30427558847352E-02 
564	 5.41265627284581E-02 
565	 5.44424846374941E-02 
