Wavelength	5c.000
611	 0.118886575102806 
612	 0.128378093242645 
613	 0.138363271951675 
614	 0.148807123303413 
615	 0.159737423062325 
616	 0.171032518148422 
617	 0.1827093064785 
618	 0.194734647870064 
619	 0.206983104348183 
620	 0.2195213586092 
621	 0.232182055711746 
622	 0.244774863123894 
623	 0.257417023181915 
624	 0.270052880048752 
625	 0.282573848962784 
626	 0.294852197170258 
627	 0.306995153427124 
628	 0.318870902061462 
629	 0.330345124006271 
630	 0.341367691755295 
631	 0.352071225643158 
632	 0.3624227643013 
633	 0.372297555208206 
634	 0.381798684597015 
635	 0.390818566083908 
636	 0.399330973625183 
637	 0.407405644655228 
638	 0.415028184652328 
639	 0.422205746173859 
640	 0.42895519733429 
641	 0.435290694236755 
642	 0.441211760044098 
643	 0.446765422821045 
644	 0.452036768198013 
645	 0.457042187452316 
646	 0.461656600236893 
647	 0.46585476398468 
648	 0.469801366329193 
649	 0.473658949136734 
650	 0.477274268865585 
651	 0.480499893426895 
652	 0.483669221401215 
653	 0.486568838357925 
654	 0.48921599984169 
655	 0.491811126470566 
656	 0.494236499071121 
657	 0.496504545211792 
658	 0.498658418655396 
659	 0.500765740871429 
660	 0.502823829650879 
661	 0.504733622074127 
662	 0.506397426128387 
663	 0.507924199104309 
664	 0.509502053260803 
665	 0.511122703552246 
666	 0.512580811977386 
667	 0.513907670974731 
668	 0.515193402767181 
669	 0.516477704048157 
670	 0.517633080482483 
671	 0.518773794174194 
672	 0.519929528236389 
673	 0.521069586277008 
674	 0.522033154964447 
675	 0.522984802722931 
676	 0.524003088474274 
677	 0.525028944015503 
678	 0.525841891765594 
679	 0.526717305183411 
680	 0.527814090251923 
681	 0.528561532497406 
682	 0.529322266578674 
683	 0.530049204826355 
684	 0.530551612377167 
685	 0.531415820121765 
686	 0.532211482524872 
687	 0.532794892787933 
688	 0.533571600914001 
689	 0.534420371055603 
690	 0.53511381149292 
691	 0.535540580749512 
692	 0.536072611808777 
693	 0.536690175533295 
694	 0.537331700325012 
695	 0.5379239320755 
696	 0.538618505001068 
697	 0.53911018371582 
698	 0.539398074150085 
699	 0.540030777454376 
700	 0.540714263916016 
701	 0.541283428668976 
702	 0.541703045368195 
703	 0.54230409860611 
704	 0.542812407016754 
705	 0.543179035186768 
706	 0.543532967567444 
707	 0.544013977050781 
708	 0.544556379318237 
709	 0.54506129026413 
710	 0.545416355133057 
711	 0.545999467372894 
712	 0.546528577804565 
713	 0.546716868877411 
714	 0.547085106372833 
715	 0.547505080699921 
716	 0.547966361045837 
717	 0.54852682352066 
718	 0.548970758914948 
719	 0.549302339553833 
720	 0.549568057060242 
721	 0.549817204475403 
722	 0.550168335437775 
723	 0.550539433956146 
724	 0.550841331481934 
725	 0.551237165927887 
726	 0.551626563072205 
727	 0.552011966705322 
728	 0.552458584308624 
729	 0.55286705493927 
730	 0.553085029125214 
731	 0.553172826766968 
732	 0.553540647029877 
733	 0.553822636604309 
734	 0.554126143455505 
735	 0.554560244083405 
736	 0.554705917835236 
737	 0.554917097091675 
738	 0.555211126804352 
739	 0.555405378341675 
740	 0.555784046649933 
741	 0.556103408336639 
742	 0.556268453598022 
743	 0.556496143341064 
744	 0.556828737258911 
745	 0.557184636592865 
746	 0.55743795633316 
747	 0.557418704032898 
748	 0.557655513286591 
749	 0.558093070983887 
750	 0.558343768119812 
751	 0.558380484580994 
752	 0.558516919612885 
753	 0.558865129947662 
754	 0.559228837490082 
755	 0.559492349624634 
756	 0.559707403182983 
757	 0.559937000274658 
758	 0.560123562812805 
759	 0.560360729694366 
760	 0.560649037361145 
761	 0.560920178890228 
762	 0.561001241207123 
763	 0.561077773571014 
764	 0.561295747756958 
765	 0.561704695224762 
766	 0.561931729316711 
767	 0.562043905258179 
768	 0.562202215194702 
769	 0.562589824199677 
770	 0.562806189060211 
771	 0.562916100025177 
772	 0.563119113445282 
773	 0.563323676586151 
774	 0.563589513301849 
775	 0.563849925994873 
776	 0.563955187797546 
777	 0.564076602458954 
778	 0.564207077026367 
779	 0.564339637756348 
780	 0.564507067203522 
781	 0.564877569675446 
782	 0.56514573097229 
783	 0.565082192420959 
784	 0.565194964408875 
785	 0.565415799617767 
786	 0.56567245721817 
787	 0.565877079963684 
788	 0.565879940986633 
789	 0.565953731536865 
790	 0.566175401210785 
791	 0.566348433494568 
792	 0.566589117050171 
793	 0.566805303096771 
794	 0.566919267177582 
795	 0.566979229450226 
796	 0.567025721073151 
797	 0.567122936248779 
798	 0.567295849323273 
799	 0.567360937595367 
800	 0.567473769187927 
801	 0.567663908004761 
802	 0.567843377590179 
803	 0.567897737026215 
804	 0.56799978017807 
805	 0.568197011947632 
806	 0.568294942378998 
807	 0.568434774875641 
808	 0.568583309650421 
809	 0.568687200546265 
810	 0.568756222724915 
811	 0.568858563899994 
812	 0.568981647491455 
813	 0.569063544273376 
814	 0.568993270397186 
815	 0.569030821323395 
816	 0.569228410720825 
817	 0.569427251815796 
818	 0.569561064243317 
819	 0.569547712802887 
820	 0.56948709487915 
821	 0.569755613803864 
822	 0.570097386837006 
823	 0.570254862308502 
824	 0.57013350725174 
825	 0.570108711719513 
826	 0.570153117179871 
827	 0.57019168138504 
828	 0.570174276828766 
829	 0.570381104946136 
830	 0.570521473884583 
831	 0.570516765117645 
832	 0.570511519908905 
833	 0.570578992366791 
834	 0.570641815662384 
835	 0.570662438869476 
836	 0.57070255279541 
837	 0.57083535194397 
838	 0.570897281169891 
839	 0.570818901062012 
840	 0.570972979068756 
841	 0.571032226085663 
842	 0.570945858955383 
843	 0.570814251899719 
844	 0.570849537849426 
845	 0.570862889289856 
846	 0.570897161960602 
847	 0.571124911308289 
848	 0.571187674999237 
849	 0.571144104003906 
850	 0.571164965629578 
851	 0.571465969085693 
852	 0.571652591228485 
853	 0.571671545505524 
854	 0.571613490581512 
855	 0.571699440479279 
856	 0.571791708469391 
857	 0.571887135505676 
858	 0.571956157684326 
859	 0.571695804595947 
860	 0.571742355823517 
861	 0.571958422660828 
862	 0.571905612945557 
863	 0.572015464305878 
864	 0.572243213653564 
865	 0.572478473186493 
866	 0.572579264640808 
867	 0.572391390800476 
868	 0.572179138660431 
869	 0.572166681289673 
870	 0.572418391704559 
871	 0.572681128978729 
872	 0.572777569293976 
873	 0.572683036327362 
874	 0.57263720035553 
875	 0.572649955749512 
876	 0.572603940963745 
877	 0.572451412677765 
878	 0.57255232334137 
879	 0.572640061378479 
880	 0.572714686393738 
881	 0.572859168052673 
882	 0.572847664356232 
883	 0.572759509086609 
884	 0.572697043418884 
885	 0.572748959064484 
886	 0.57288259267807 
887	 0.572999179363251 
888	 0.57305109500885 
889	 0.573060393333435 
890	 0.573009252548218 
891	 0.572876572608948 
892	 0.572703838348389 
893	 0.572629809379578 
894	 0.57262510061264 
895	 0.572709143161774 
896	 0.572864294052124 
897	 0.572978675365448 
898	 0.572925865650177 
899	 0.572734832763672 
900	 0.572535753250122 
901	 0.572575330734253 
902	 0.572513818740845 
903	 0.572358787059784 
904	 0.572306394577026 
905	 0.572488486766815 
906	 0.572630286216736 
907	 0.572720587253571 
908	 0.572908103466034 
909	 0.572894871234894 
910	 0.57266092300415 
911	 0.572387158870697 
912	 0.572379410266876 
913	 0.572433710098267 
914	 0.57242625951767 
915	 0.572393298149109 
916	 0.572552263736725 
917	 0.572604775428772 
918	 0.572607934474945 
919	 0.57268238067627 
920	 0.572923302650452 
921	 0.572850167751312 
922	 0.572688698768616 
923	 0.572651922702789 
924	 0.572408497333527 
925	 0.572192907333374 
926	 0.572265326976776 
927	 0.5726717710495 
928	 0.572784245014191 
929	 0.572785615921021 
930	 0.572724878787994 
931	 0.572640895843506 
932	 0.57274317741394 
933	 0.572749257087708 
934	 0.572701692581177 
935	 0.572789490222931 
936	 0.572894275188446 
937	 0.573043286800385 
938	 0.573208332061768 
939	 0.573326349258423 
940	 0.573389708995819 
941	 0.573500454425812 
942	 0.573627948760986 
943	 0.573656916618347 
944	 0.573855996131897 
945	 0.573972225189209 
946	 0.573964536190033 
947	 0.574053406715393 
948	 0.574062407016754 
949	 0.574054837226868 
950	 0.574076592922211 
951	 0.574100911617279 
952	 0.574006080627441 
953	 0.573852002620697 
954	 0.573746383190155 
955	 0.573787868022919 
956	 0.573524117469788 
957	 0.573206961154938 
958	 0.573082685470581 
959	 0.573108553886414 
960	 0.573029518127441 
961	 0.572832882404327 
962	 0.572540283203125 
963	 0.572107970714569 
964	 0.571648776531219 
965	 0.571269094944 
966	 0.571005880832672 
967	 0.570752799510956 
968	 0.570727586746216 
969	 0.570803880691528 
970	 0.570800006389618 
971	 0.570676803588867 
972	 0.570385754108429 
973	 0.570242702960968 
974	 0.570487201213837 
975	 0.570846796035767 
976	 0.571289002895355 
977	 0.571721494197845 
978	 0.572059690952301 
979	 0.572261154651642 
980	 0.572465837001801 
981	 0.572793543338776 
982	 0.573216378688812 
983	 0.573315680027008 
984	 0.573298990726471 
