Wavelength	1e.001
582	 1.01684284210205 
583	 1.00571465492249 
584	 0.994145750999451 
585	 0.981919288635254 
586	 0.968822419643402 
587	 0.955238223075867 
588	 0.941139400005341 
589	 0.926448047161102 
590	 0.91116327047348 
591	 0.895512282848358 
592	 0.8795126080513 
593	 0.863186836242676 
594	 0.846968412399292 
595	 0.830485820770264 
596	 0.813670516014099 
597	 0.796755135059357 
598	 0.779720544815063 
599	 0.76241272687912 
600	 0.744821131229401 
601	 0.72742748260498 
602	 0.709839165210724 
603	 0.692206799983978 
604	 0.674875497817993 
605	 0.657876133918762 
606	 0.64134955406189 
607	 0.62528520822525 
608	 0.609564423561096 
609	 0.594568729400635 
610	 0.580228924751282 
611	 0.566410660743713 
612	 0.553285658359528 
613	 0.540733456611633 
614	 0.528805434703827 
