Wavelength	5b.001
582	 1.44378519058228 
583	 1.44046938419342 
584	 1.43691897392273 
585	 1.43331205844879 
586	 1.42953217029572 
587	 1.42498362064362 
588	 1.42070305347443 
589	 1.41702783107758 
590	 1.4129604101181 
591	 1.40871906280518 
592	 1.40426886081696 
593	 1.39953434467316 
594	 1.39448177814484 
595	 1.38944923877716 
596	 1.38440525531769 
597	 1.37904167175293 
598	 1.3735111951828 
599	 1.36779570579529 
600	 1.36173593997955 
601	 1.35493683815002 
602	 1.34782671928406 
603	 1.34055912494659 
604	 1.33316421508789 
605	 1.32564628124237 
606	 1.31769156455994 
607	 1.30912232398987 
608	 1.29996764659882 
609	 1.29101347923279 
610	 1.28176629543304 
611	 1.27165997028351 
612	 1.26094925403595 
613	 1.25002586841583 
614	 1.2388733625412 
615	 1.22720551490784 
