Wavelength	3d.000
498	 4.39068339765072E-02 
499	 4.38893362879753E-02 
500	 4.40435260534287E-02 
501	 4.40517105162144E-02 
502	 4.39218133687973E-02 
503	 0.043949905782938 
504	 4.39669005572796E-02 
505	 4.39488179981709E-02 
506	 4.39249016344547E-02 
507	 4.40036505460739E-02 
508	 4.40081395208836E-02 
509	 0.043988972902298 
510	 4.40770573914051E-02 
511	 4.41745333373547E-02 
512	 0.044335562735796 
513	 4.45227175951004E-02 
514	 4.45677787065506E-02 
515	 4.45852540433407E-02 
516	 4.46432493627071E-02 
517	 4.47617694735527E-02 
518	 4.48307804763317E-02 
519	 0.044965535402298 
520	 4.51663471758366E-02 
521	 4.53527458012104E-02 
522	 4.55405935645103E-02 
523	 4.56755980849266E-02 
524	 4.57895845174789E-02 
525	 4.61156815290451E-02 
526	 0.046376321464777 
527	 4.65900301933289E-02 
528	 4.68703247606754E-02 
529	 4.72145453095436E-02 
530	 4.75743748247623E-02 
531	 4.79475036263466E-02 
532	 4.83823269605637E-02 
533	 4.88639585673809E-02 
534	 0.049406211823225 
535	 5.00216409564018E-02 
536	 5.06992377340794E-02 
537	 0.051487822085619 
538	 5.24076819419861E-02 
539	 5.34587875008583E-02 
540	 5.46082071959972E-02 
541	 5.59098310768604E-02 
542	 5.73924742639065E-02 
543	 5.90275675058365E-02 
544	 6.08359910547733E-02 
545	 6.28606677055359E-02 
546	 6.51429891586304E-02 
547	 6.76894709467888E-02 
548	 7.04962313175201E-02 
549	 7.36023709177971E-02 
550	 7.70766139030457E-02 
551	 8.08678641915321E-02 
552	 8.51038917899132E-02 
553	 8.98681133985519E-02 
554	 9.50232967734337E-02 
555	 0.100766532123089 
556	 0.107115007936954 
557	 0.114001855254173 
558	 0.121465794742107 
559	 0.129522159695625 
560	 0.138096436858177 
561	 0.147018164396286 
562	 0.156358048319817 
563	 0.166196808218956 
564	 0.17654550075531 
565	 0.187252193689346 
566	 0.198278650641441 
567	 0.209622263908386 
568	 0.221300005912781 
569	 0.233474791049957 
570	 0.245877429842949 
571	 0.25834184885025 
572	 0.271060824394226 
573	 0.283983469009399 
574	 0.296966761350632 
575	 0.309884279966354 
576	 0.322820901870728 
577	 0.335799425840378 
578	 0.348840832710266 
579	 0.361943751573563 
580	 0.374737858772278 
581	 0.387319654226303 
582	 0.399862945079803 
583	 0.41224604845047 
584	 0.424406170845032 
585	 0.436321020126343 
586	 0.44795686006546 
587	 0.458970487117767 
588	 0.469481110572815 
589	 0.479603826999664 
590	 0.489267945289612 
591	 0.498485863208771 
592	 0.507184267044067 
593	 0.51528662443161 
594	 0.522715389728546 
595	 0.529816508293152 
596	 0.536568224430084 
597	 0.542604207992554 
598	 0.54811692237854 
599	 0.55330491065979 
600	 0.558282375335693 
601	 0.562915503978729 
602	 0.567251622676849 
603	 0.57135021686554 
604	 0.575250804424286 
605	 0.578872263431549 
606	 0.582106053829193 
607	 0.585004925727844 
608	 0.587804436683655 
609	 0.590376019477844 
610	 0.592717587947845 
611	 0.5948845744133 
612	 0.596974015235901 
613	 0.599048674106598 
614	 0.601011276245117 
615	 0.602706253528595 
616	 0.604513466358185 
617	 0.606121301651001 
618	 0.607416033744812 
619	 0.608782351016998 
620	 0.610296308994293 
621	 0.611728370189667 
622	 0.612860143184662 
623	 0.614109098911285 
624	 0.61541348695755 
625	 0.616603851318359 
626	 0.617470502853394 
627	 0.618633806705475 
628	 0.619759917259216 
629	 0.620578289031982 
630	 0.621403217315674 
631	 0.622481524944305 
632	 0.623599469661713 
633	 0.62439888715744 
634	 0.625234544277191 
635	 0.626084327697754 
636	 0.626920402050018 
637	 0.627743721008301 
638	 0.628510296344757 
639	 0.629289567470551 
640	 0.630108416080475 
641	 0.630757689476013 
642	 0.631376922130585 
643	 0.63207733631134 
644	 0.632918357849121 
645	 0.63367885351181 
646	 0.634339869022369 
647	 0.634953320026398 
648	 0.635637581348419 
649	 0.636381030082703 
650	 0.637054562568665 
651	 0.637551724910736 
652	 0.637999951839447 
653	 0.6385697722435 
654	 0.639261424541473 
655	 0.639930665493011 
656	 0.64049631357193 
657	 0.640973806381226 
658	 0.641462087631226 
659	 0.642219722270966 
660	 0.642810881137848 
661	 0.643317639827728 
662	 0.643941342830658 
663	 0.644378483295441 
664	 0.644782364368439 
665	 0.645295739173889 
666	 0.64600270986557 
667	 0.646542906761169 
668	 0.646871566772461 
669	 0.647125244140625 
670	 0.647720158100128 
671	 0.648342430591583 
672	 0.648817896842957 
673	 0.64910751581192 
674	 0.649609267711639 
675	 0.650058031082153 
676	 0.650419294834137 
677	 0.650996923446655 
678	 0.651278972625732 
679	 0.65165787935257 
680	 0.652399122714996 
681	 0.652727484703064 
682	 0.653037488460541 
